author_id,username,author_followers,author_tweets,text,created_at,retweets,likes,tweet_length
509348757,NYSEDISBROKEN,262,121301,"Having just filed a complaint w/ CFPB, I can tell you Trump Admin has already destroyed it.  Total joke- you file complaint, they ask company for response and then close the case.  They don't look at complaint or response. Total BS. https://t.co/uJRZCllcgx",2022-10-21T02:10:06.000Z,0,0,256
1359196889879613444,Anthony68028803,2,727,"@StephenM Just when you think you have seen the worst Tepublican lies someone like you tops the list. How can you sleep at night spewing such absolute nonsense. Just because Trump fooled a lot of Americans to steal their cash what's in this for you? Go and lie down somewhere.
Vote BLUE.",2022-10-21T02:10:04.000Z,0,0,287
309437488,Nhalem,17,11549,@SteveSchmidtSES I think the attorney explained it very well to Trump no he will not get our votes.,2022-10-21T02:10:04.000Z,0,0,99
1498251450157350912,SashaNat1,28,3446,@BeckyQuick @TheRock To whom  Hitler #2 Putin pay more : to Tucker or to Trump ?,2022-10-21T02:10:03.000Z,0,0,80
1494288810879774721,DianeVa05028033,2,1288,@PapiTrumpo My Real President! Donald J Trump,2022-10-21T02:10:03.000Z,0,0,45
1346919474843308033,ReasonableGuy47,78,5216,"@MayraFlores2022 Many Republican Congressional Members don’t know it’s possible to oppose Trump and his criminal attempts at creating a dictatorship. Many Republicans also don’t realize trying to end the ACA, Social Security, Medicare, Medicaid, and student loan forgiveness hurts working families",2022-10-21T02:10:02.000Z,0,0,297
452283375,mcbeinke,3,3900,@Mike_Pence Until republicans can stand on their own two feet and call out bad republicans you have lost my vote. Trump insisted on you being unAmerican and yet so many in your party would vote again for him if he was the choice. SAD,2022-10-21T02:10:02.000Z,0,0,233
1504606351514869760,MardiGras2727,93,5972,"@AstolfoCz @PapiTrumpo Let's not 4get this fucking gem..remember there was a bill 2 prevent the gas companies from gouging &amp; then all the Republicans voted no??!! That was a good story. Oh here's another fun fact! The border? No one was passing when Trump was in office, right????🤣🤣🤣🤣🤣🤣🖕🖕🖕🖕🖕 https://t.co/pzJjJfCWUz",2022-10-21T02:10:02.000Z,0,0,319
93801921,xtrememousey,143,3714,"@RealMarkFinchem Arizona has been voting mail-in especially on the permanent early voting list for 30 years you didn't complain about it until Trump did, coincidence? I think not",2022-10-21T02:10:02.000Z,0,0,178
1516563486788231178,hog_doc,0,36,@mike83wvu1983 @RReavey @bobogator3 @RNCResearch https://t.co/iSC3wnxh86,2022-10-21T02:10:02.000Z,0,0,72
1051993705882763266,ThirteenMachine,153,16563,NEUTERED: Oath Keepers said Trump didn’t “have balls” to overthrow the government via @OccupyDemocrats https://t.co/KE9lmHhqRD,2022-10-21T02:10:01.000Z,0,0,126
269403495,maisgar57,50,11229,"Oh Kelly, you are clearly a #TrumpKissAss &amp; now your just blaming others just like #Trump, @KLoeffler you are pathetic! https://t.co/OMlthuX2Cy",2022-10-21T02:10:00.000Z,0,0,147
700597078649507840,peyamakurd,14679,99500,"Pence'ten Trump'ın adaylığını desteklemeyeceği vurgusu!

https://t.co/foSTw2bPSb

#ABD #Trump #Washington #MikePence #georgetown #JoeBiden #BeyazSaray #DonaldTrumpJr https://t.co/zunRoXLYb1",2022-10-21T02:10:00.000Z,0,0,189
1156141446472187904,masterjitips,44,63560,"“I’m tired of waiting”: Oath Keepers grew frustrated with Trump days ahead of the Capitol attack, texts show https://t.co/Kwsp3SWV6T",2022-10-21T02:09:59.000Z,0,0,132
885091013999697920,TDSAuthor,2528,13962,"@NickAdamsinUSA Nicholas Adams is a Theta male who gets cucked by Trump, ugly dudes, farm animals, and small kitchen appliances.",2022-10-21T02:09:59.000Z,0,0,128
1345482683821027333,Kurt1775,1252,12538,"@pepesgrandma This has been going on for awhile.
It ramped up during Trump presidency, especially towards election.
Media pushed constant deluge of emotionally-charged, negative narratives, that would be directly or indirectly attached to Trump admin &amp; Rs.",2022-10-21T02:09:59.000Z,0,0,260
1166381062248783874,forcemultstevea,833,116108,@nytimes #GOP @foxnews personifies Idiocracy: a disturbingly prophetic look at the future of America – and our era of stupidity https://t.co/SSDZgtWzfw Neurons in brain make enough electricity each day to run a light bulb (20 watts) but #Trump #GOP #QAnon #MAGA &lt; 1 watt,2022-10-21T02:09:58.000Z,0,0,273
1121032931139567617,9thdecimal,117,7853,"@JoJoFromJerz People like this are laughable.  The US is economically crumbling before our very eyes in past 2 years with fracturing dollar, spiraling debt/devastating reduction in buying power, war with Saudi Arabia on table , excessive inflation, &amp; Fascist media, but Trump bad. 

Wake Up !",2022-10-21T02:09:58.000Z,0,0,296
2641853189,mcraddock1967,1087,11581,"Republicans don't care about people if its not about them
Trump’s yearslong crusade against Ukraine has finally come home to roost as Republicans call for abandoning Kyiv https://t.co/QmBeRwPhpE",2022-10-21T02:09:57.000Z,0,0,194
426230096,andrewjcrawf,385,5044,@GalenAGregory1 @CurtMarshall10 @RubinReport So are you conceding that Biden is absolutely brain dead and adding “but at least he’s not trump?”   You’re in a cult.,2022-10-21T02:09:57.000Z,0,0,163
1529257636595650560,leavemealone049,14,737,@AmoneyResists @twobitsprite42 @GinaBritton14 @hogofhedge @ADubrutz @michaelmalice Actually no.  Somebody else’s safety does not Trump my 2a right.  Each kid is the responsibility of the parents. I have no responsibility to give up anything for anyone.,2022-10-21T02:09:56.000Z,0,0,252
2410744141,carte_blanchee,2413,50972,"@emptywheel This. Is. What. Haberman. Is. PERIOD. Every move she makes is meant to secure her continued proximity to Trump. She won’t step over the line into actual journalism, because by doing so she would lose access. Money, power, access.",2022-10-21T02:09:54.000Z,0,0,241
1453873246886113313,Tess0473,244,20023,Another racist defending trump antisemitism https://t.co/eK0HFULcQz,2022-10-21T02:09:54.000Z,0,0,67
37746697,CCMCollection,31,716,@SWinstonWolkoff I heard that trump met Melania at one of his parties in NYC.  Lots of photos of them together,2022-10-21T02:09:54.000Z,0,0,110
