screen_name,id,protected,followers,follow_count
kristimward,454363225,True,56,182
lisawade,304880098,False,22952,13467
madprime,71557700,False,1757,980
saviaga,121881387,False,6327,5099
suchetaghoshal,155176391,False,1557,1064
amir_baradaran,138288828,True,5926,6698
am_piper,855617388,False,876,496
SafferPHD,2732690292,False,1062,1241
JordanTBates,1392035323,False,224,2786
jacob_c_fisher,3308228529,False,242,1315
shaheenahmedc,1120589994870095873,False,43,631
cameronpiercy,38341407,False,866,1759
AndresRodCa,1181713389501997057,False,831,1220
AlinaLungeanu,1920201936,False,135,130
christi_eden,3012820295,True,55,135
jondwright,24180552,False,158,578
madison_neurohr,1177737695633825794,False,142,459
EricCWiemer,875428132064550912,False,210,287
CommDepUB,1182645686367592448,False,350,1150
carlcolglazier,22532536,False,659,609
breniel_lemley,890331395314274304,False,310,553
windx0303,793483735018504192,False,1688,2959
ZoyNiko,1009082316394844160,False,3602,4994
SATYAMMUKHERJE1,890710574,False,279,2144
EmilioLehoucq,464906075,False,2281,1960
Networks2021,1167145117452570626,False,2753,1839
AnujaMajmundar,1056715997372014592,False,445,778
BrendanNyhan,84653850,False,92265,15626
eszter,152143,False,9568,1154
tpoell,5692212,False,1953,1733
loganex,14750886,False,801,491
rrvanderbilt,467652283,False,844,1539
soojongkim_1,3912267406,False,472,956
TeachGuz,88060423,False,2965,1810
joshurbandavis,4784804942,False,3018,1169
larryxu110,2835615098,False,198,596
MannMarcus,452672716,False,810,1415
alexandraruiz,23488711,False,2952,3132
skairam,10313732,False,1827,868
CenterforCSPAN,966335090568638464,False,1553,4776
jasonbaumgartne,70802518,False,6107,5174
semrasevi,781546644902973440,False,8202,6596
maimonecr,4771935931,False,241,511
utollwi,4807561,False,12043,13249
NickHagar,987585836,False,468,404
BrentHueth,1586185411,False,398,1725
JBabichJapan,2923689403,False,1243,2482
wrahool,56035984,False,968,828
Tiwalade_A,985556645039263745,True,239,243
rbrbrbr,7300642,False,567,2240
JohnHolbein1,289461078,False,34832,28083
tinaL___,1139160970721406976,False,308,503
devonbrackbill,50278913,False,111,1256
yixwang,4071709574,False,205,385
SarahCPila,1139584306135756800,False,82,114
dweinberger,1285451,False,26549,1353
robinc,10090732,False,741,2595
Joe_Lucero_,53763228,False,2787,4365
trappedinanegg,840293599963148288,False,140,758
IEthics,1072508497,False,9577,5851
purplelotus13,33995522,False,441,1522
e_lemmerman,1316995957,False,726,2423
SekouLRemy,1093628184,False,1418,3966
lucas_wright_,985349750,False,281,1742
FloorFiers,956680929308807168,False,222,442
kdeconomist,101779008,False,460,5001
andicat,755373,False,1847,446
Mlsif,774909,False,15934,6757
JockMcClellan,2487373103,False,966,3425
l_lululy,81647145,False,210,402
WikiWomenInRed,3283774369,False,10463,5854
cbengibson,1129399914201518080,False,1575,2418
seanmeddington,264017818,False,1376,3025
ICAOrgCom,4778920275,False,300,227
NElmqvist,411681876,False,2357,643
jssyczc,4351329012,False,111,265
AaronSchecter,1905068233,False,272,487
ICASECAC,983366304466907136,False,1400,1160
jake_fisher,28036928,False,927,853
freddy_hopp,388889413,False,402,408
NishRJ04,29021913,False,451,3551
karthik_badam,2838336587,False,331,573
WilliamsFayne,1129490740457795584,False,363,582
Burcuwaow,162340494,False,169,901
tmulpuri,239914324,False,150,1780
EPTaylor2,977769383933202432,False,57,98
epistemographer,62533,False,3254,1643
ReginaRCheng,921093951016157185,False,384,654
HemanShakeri,1378576892,False,97,309
yaxingyao,844064118,False,720,1285
kjs8918,724619058629345281,False,769,2596
NaciKarkin,626347420,False,1896,4997
Gregyang5,523192972,False,80,593
herman08015,236122410,False,4325,4999
KelliSBurns,158574496,False,2849,5000
april_cenyue,341316794,False,558,1094
letterhead234,2898009128,False,348,1283
katie_baucom,4831131757,False,1410,4865
mkramer,10232022,False,19033,13974
divy93t,75754276,False,2636,1352
bkj_comm,20922544,False,1473,4004
ffmagicbean,229622452,False,1517,1445
cjdoebele,501963187,False,722,2356
SarahMaben,404976366,False,647,1428
kanishkamisra,3229475660,False,449,507
BrettSherrick,309722709,False,376,930
samuelhardman,224825082,False,903,531
VincentR,6366042,False,1624,1255
JenniferHoewe,290151254,False,1018,1599
LambSchool,232155729,False,2107,923
SpencerDeery,9525872,False,147,704
diana_zulli,940643338167783424,False,330,355
naz_andalibi,316622190,False,3669,1832
