text,timestamp,favorite_count,followers,friends_count
@BobbyPierce32 @LoweRacing5J @WoOLateModels @iRacing @dirtvision That red and white for this year is on point!,Tue Apr 07 01:31:57 +0000 2020,0,107,378
NEW BOOK ON COLORS BY PURDUE ALUMNUS April 1916: Research physicist M. Luckeish had written a book on ‘Color and It… https://t.co/5LK6QjJUWd,Tue Apr 07 01:31:47 +0000 2020,0,21,0
@snapintuit She was winning that first fight until the slam..think she gets it done,Tue Apr 07 01:31:39 +0000 2020,1,505,722
@DMamba6 Got to bro 😂😂,Tue Apr 07 01:31:35 +0000 2020,0,1049,927
"@KanyePodcast Oh and Jaded bro, I have to admit FSMH and Ultralight Beam are NOT my thing and Heard Em Say is just… https://t.co/0jrVfkXLQg",Tue Apr 07 01:31:27 +0000 2020,0,96,123
@brtnynchle Actually repulsive asf,Tue Apr 07 01:31:26 +0000 2020,1,349,510
Who wouldn't want to knock the crap out of Jim whatshisname Roma? Rome?  Rohm??  Nice job BOILERMAKER Jim! https://t.co/S73G75Yr19,Tue Apr 07 01:31:02 +0000 2020,0,138,88
Apex endings&lt;,Tue Apr 07 01:30:49 +0000 2020,0,505,722
"Not okay with this shit happening in my house, we don’t need cops or snitches fucking with us not cool at all",Tue Apr 07 01:30:48 +0000 2020,0,707,439
RT @RebelCue: @DanLamothe @sam_vinograd @SECNAV via @rabrowne75,Tue Apr 07 01:30:36 +0000 2020,0,19,50
@DanLamothe @sam_vinograd @SECNAV via @rabrowne75 https://t.co/2XXPLCJSdl,Tue Apr 07 01:30:32 +0000 2020,0,19,50
"@JohnGilleard I don’t know whether my lack of socialisation in recent weeks is kicking in, but I can’t stop laughing at this. 😂",Tue Apr 07 01:30:10 +0000 2020,1,2409,1637
Many Americans won't get coronavirus stimulus checks. https://t.co/o9MyiZnAA5,Tue Apr 07 01:30:00 +0000 2020,0,251,185
@KanyePodcast Only matchups I'm giving Drake here are Jumpman and Nice For What,Tue Apr 07 01:29:56 +0000 2020,0,96,123
I’m imagining my next tattoo.,Tue Apr 07 01:29:48 +0000 2020,0,67,139
"RT @RolCollinsworth: @darhar981 TBH Most public schools are funded by local property taxs.

How many illegals own property?",Tue Apr 07 01:29:37 +0000 2020,0,3861,4995
@maple_1981 @scotusreporter @davidfrum I AM NOT AN ALGORITHM! https://t.co/9wr3S9ihmc,Tue Apr 07 01:29:04 +0000 2020,0,47,292
"@HIHOpodcast @EllaDouglas96 Late seeing this, but just want to thank @EllaDouglas96 for all of her wonderful perfor… https://t.co/yvNekmZ59p",Tue Apr 07 01:28:19 +0000 2020,0,89,256
